client,nr_visits,continuity
(continuity = number of distinct caregivers; lower is better)
--------------------------------------------------
H015,44,3
H025,42,3
H027,3,1
H029,10,3
H031,3,3
H034,42,3
H037,42,3
H038,50,3
H039,17,3
H041,64,3
H047,30,3
H048,20,2
H053,39,3
H055,21,2
H061,1,1
H072,36,3
H077,13,2
H081,32,3
H086,95,3
H087,2,1
H092,38,3
H095,81,3
H096,35,3
H097,83,3
H107,10,3
H113,4,1
H114,28,3
H125,22,3
H145,83,3
H155,16,3
H157,35,2
H160,2,2
H164,1,1
H172,20,3
H181,15,2
H182,76,3
H194,2,1
H200,34,3
H230,16,3
H235,22,2
H238,84,3
H239,28,3
H240,1,1
H243,33,3
H244,52,3
H248,68,3
H270,47,3
H284,37,3
H287,1,1
H288,9,3
H289,5,2
H290,90,3
H293,57,3
H295,4,3
H297,1,1
H299,10,1
H300,35,3
H301,4,2
H302,39,3
H314,29,3
H315,42,3
H322,69,3
H323,15,1
H324,47,3
H326,2,1
H327,54,2
H328,1,1
H331,37,3
H332,80,3
H333,3,1
H334,20,3
H335,6,2
H339,1,1
H341,1,1
H342,1,1
H346,2,1
H349,44,2
H351,76,3
H354,60,3
H355,6,2
H357,2,1
H358,4,2
H360,30,3
H361,1,1
H362,37,3
H363,90,3
H364,1,1
H365,78,3
H366,19,2
H367,30,3
H369,65,3
HN01_r637_1,1,1
HN02_r638_1,1,1
HN03_r639_1,1,1
HN04_r640_1,1,1
HN05_r641_1,1,1
HN07_r642_1,1,1
HN08_r643_1,1,1
HN12_r644_1,1,1
HN13_r645_1,1,1
HN13_r645_10,1,1
HN13_r645_2,1,1
HN13_r645_3,1,1
HN13_r645_4,1,1
HN13_r645_5,1,1
HN13_r645_7,1,1
HN13_r645_8,1,1
HN13_r645_9,1,1
HN13_r646_1,1,1
HN13_r646_2,1,1
HN13_r646_3,1,1
HN13_r646_4,1,1
HN13_r647_1,1,1
HN13_r647_2,1,1
HN13_r648_1,1,1
HN13_r649_1,1,1
