client,nr_visits,continuity
(continuity = number of distinct caregivers; lower is better)
--------------------------------------------------
H015,44,8
H025,42,8
H026,103,8
H027,3,3
H029,59,8
H031,3,2
H034,42,7
H035,52,3
H037,42,8
H038,50,8
H039,42,8
H041,64,8
H047,30,8
H048,30,8
H053,39,8
H055,93,8
H061,1,1
H072,50,8
H077,13,7
H081,32,8
H086,95,8
H087,2,1
H092,38,8
H095,83,7
H096,35,7
H097,84,8
H107,10,5
H113,4,2
H114,28,8
H125,33,8
H145,83,8
H154,76,8
H155,16,8
H157,47,8
H160,2,2
H164,1,1
H172,58,8
H181,16,6
H182,97,8
H194,2,2
H200,34,6
H230,16,7
H235,22,8
H238,84,8
H239,28,7
H240,1,1
H243,33,8
H244,56,8
H248,92,8
H269,9,4
H270,47,8
H284,54,8
H287,1,1
H288,9,5
H289,5,2
H290,90,8
H293,57,8
H295,4,2
H297,1,1
H299,10,6
H300,60,8
H301,46,8
H302,39,8
H312,1,1
H314,29,7
H315,60,8
H322,69,8
H323,89,8
H324,47,8
H326,2,1
H327,52,7
H328,2,1
H331,51,8
H332,83,8
H333,3,3
H334,20,7
H335,6,4
H337,62,8
H339,1,1
H341,1,1
H342,1,1
H346,2,1
H349,44,8
H351,76,8
H354,60,8
H355,6,3
H357,2,1
H358,4,3
H360,44,7
H361,1,1
H362,37,7
H363,90,8
H364,1,1
H365,88,8
H366,19,7
H367,30,7
H369,66,8
HN01_r637_1,1,1
HN02_r638_1,1,1
HN03_r639_1,1,1
HN04_r640_1,1,1
HN05_r641_1,1,1
HN07_r642_1,1,1
HN08_r643_1,1,1
HN12_r644_1,1,1
HN13_r645_1,1,1
HN13_r645_10,1,1
HN13_r645_2,1,1
HN13_r645_3,1,1
HN13_r645_4,1,1
HN13_r645_5,1,1
HN13_r645_6,1,1
HN13_r645_7,1,1
HN13_r645_8,1,1
HN13_r645_9,1,1
HN13_r646_1,1,1
HN13_r646_2,1,1
HN13_r646_3,1,1
HN13_r646_4,1,1
